gene	chr	start	end	mod_difference	dmr_qvalue	direction	n_k119ub_ctrl	n_k119ub_mut	net_k119ub
Rtl9	chrX	143099593	143104296	-0.0519403816056062	0.0133066468289203	Hypomethylated	2	0	-2
Arfgap1	chr2	180967224	180982525	0.0173530222346007	0.0133211166189883	Hypermethylated	0	0	0
Olfr994	chr2	85429379	85436450	0.0287169241329136	0.0133330740197782	Hypermethylated	0	0	0
Ncf4	chr15	78244800	78262579	-0.0169362749385386	0.0133676918969774	Hypomethylated	0	0	0
Slc25a26	chr6	94500330	94604671	-0.00560033486556943	0.0133722786325866	Hypomethylated	1	2	1
Trim66	chr7	109449005	109508133	0.00817703056065933	0.0133892159735276	Hypermethylated	0	1	1
Abhd3	chr18	10642091	10706770	-0.00791691069307499	0.0134137252141852	Hypomethylated	1	1	0
Tada3	chr6	113366024	113377882	0.0145985222017665	0.0134234136583196	Hypermethylated	0	0	0
Spint1	chr2	119237361	119249526	-0.0170053895738574	0.0134253737552544	Hypomethylated	1	1	0
Peg10	chr6	4747305	4760516	0.0116350865509486	0.0134253737552544	Hypermethylated	1	1	0
Gys1	chr7	45434843	45456618	-0.0122442803636625	0.0134731579844117	Hypomethylated	0	0	0
Tcp10c	chr17	13354571	13377222	-0.0086501550209086	0.013515380287398	Hypomethylated	0	0	0
Rexo1	chr10	80540921	80561559	0.0165510804027496	0.0135168208587184	Hypermethylated	0	0	0
Vip	chr10	5639217	5647616	-0.0244719506167687	0.0135291024642453	Hypomethylated	0	0	0
Eif3g	chr9	20894348	20898622	0.0346383277440475	0.0135323039536838	Hypermethylated	0	0	0
Mrps11	chr7	78783118	78792988	0.0186775480721169	0.0135455923001589	Hypermethylated	1	1	0
4921517D22Rik	chr13	59687401	59694107	-0.0274460586467958	0.0135645045362324	Hypomethylated	1	0	-1
Acot6	chr12	84100653	84111348	0.0209882455193462	0.0135650899763856	Hypermethylated	0	0	0
Brip1	chr11	86058137	86201192	-0.00449087484958377	0.0135964347538795	Hypomethylated	0	0	0
Tug1	chr11	3639784	3649672	0.0292417201671762	0.013601049389307	Hypermethylated	0	0	0
Lcn12	chr2	25490844	25493910	0.0654637605185687	0.0136357393018531	Hypermethylated	0	2	2
Psmg3	chr5	139823591	139826884	0.0371958260076527	0.0136357393018531	Hypermethylated	0	0	0
Il19	chr1	130932655	130940114	0.0216304792980974	0.0136463330397571	Hypermethylated	2	2	0
Agpat2	chr2	26593056	26604416	-0.0222805989189383	0.0136463330397571	Hypomethylated	0	0	0
Ercc1	chr7	19344777	19356523	0.0163579334830865	0.0136463330397571	Hypermethylated	0	0	0
Slc16a14	chr1	84905897	84935133	0.0106536625455328	0.0136469392517224	Hypermethylated	0	0	0
Ywhah	chr5	33018815	33027965	-0.0204762095955945	0.0136892354556847	Hypomethylated	0	2	2
Mthfsl	chr9	88688601	88720295	0.0174891597266852	0.0136892354556847	Hypermethylated	0	0	0
Tefm	chr11	80136677	80142174	0.0213049818044252	0.0137122040983495	Hypermethylated	0	0	0
Pter	chr2	12924040	13003454	-0.00784544881399196	0.0137458162602223	Hypomethylated	2	3	1
Cd8a	chr6	71373426	71379172	0.0220038117345662	0.0137458162602223	Hypermethylated	0	0	0
Fgf21	chr7	45613885	45615489	-0.0895500824924499	0.0137458162602223	Hypomethylated	0	0	0
Uba52	chr8	70508262	70510800	0.0343891573421517	0.0137591290344098	Hypermethylated	0	0	0
Kcnh6	chr11	106008123	106034548	0.0133091153729266	0.0137591290344098	Hypermethylated	2	2	0
Lratd2	chr15	60818993	60853777	-0.0124511293862871	0.0137591290344098	Hypomethylated	0	0	0
1110008P14Rik	chr2	32377096	32381937	0.0393053463338535	0.0137755381368509	Hypermethylated	0	0	0
Zfp874b	chr13	67471512	67484257	0.0209539381915003	0.0137814174514446	Hypermethylated	0	0	0
Vmn2r107	chr17	20345241	20383112	-0.0150989373291242	0.0137814174514446	Hypomethylated	0	0	0
Rnf214	chr9	45863424	45906910	0.0105531969704218	0.0137822621730007	Hypermethylated	0	0	0
Ces3b	chr8	105083752	105093928	-0.0216824641117136	0.0137918000989219	Hypomethylated	0	0	0
Mob3a	chr10	80685252	80701976	0.0149508068990636	0.0137997491648414	Hypermethylated	0	0	0
Rtca	chr3	116488962	116508207	0.0123061050723513	0.0138170470960492	Hypermethylated	0	0	0
Timm50	chr7	28305515	28312071	-0.0291304746790875	0.0138486953540656	Hypomethylated	0	0	0
Vmn1r66	chr7	10272990	10278005	-0.0411479490451657	0.0138487451259675	Hypomethylated	0	0	0
Ccdc78	chr17	25786579	25790512	0.0274490523577646	0.013903555736791	Hypermethylated	0	0	0
Mtln	chr2	127791387	127792487	0.0315310931358827	0.0139173041961665	Hypermethylated	0	0	0
Sowahb	chr5	93041122	93045021	0.0244037395862605	0.0139645972149762	Hypermethylated	5	3	-2
4931429L15Rik	chr9	46303360	46319985	-0.0213631686704442	0.0139823308313539	Hypomethylated	10	6	-4
Zfp944	chr17	22337988	22361399	0.0151004105141493	0.0139895406229778	Hypermethylated	0	0	0
Fkbp11	chr15	98724365	98728197	-0.0396751765574924	0.0140092654617019	Hypomethylated	1	1	0
Gm26920	chr7	30056033	30090409	0.00821236263115066	0.0140153796185387	Hypermethylated	0	0	0
Shmt1	chr11	60788103	60811717	0.0119195050999241	0.0140270837595381	Hypermethylated	0	0	0
Map4k1	chr7	28982049	29003278	-0.0152239095999351	0.0140648247516749	Hypomethylated	0	0	0
Bcl2l10	chr9	75347757	75351648	0.0296196558239461	0.0140827836294842	Hypermethylated	0	0	0
Zc3hc1	chr6	30366379	30391027	0.0121720598971251	0.0140962132031592	Hypermethylated	0	0	0
Camk4	chr18	32934930	33191227	-0.0047688677537171	0.0140999845162006	Hypomethylated	0	0	0
Cox7b2	chr5	71442823	71548204	-0.00700654149505398	0.0141004123649378	Hypomethylated	0	0	0
Glipr1l3	chr10	112141753	112160326	-0.0212227329593105	0.0141089602289534	Hypomethylated	0	0	0
Atp6v0e2	chr6	48537614	48541800	0.0449916639980343	0.0141590699548931	Hypermethylated	0	0	0
Rbm8a	chr3	96629932	96633790	0.0326457141771785	0.0142144686858725	Hypermethylated	0	0	0
Gabra3	chrX	72432680	72656847	-0.00633212789192716	0.0142275705743097	Hypomethylated	0	0	0
Papln	chr12	83763633	83792381	-0.0140647222121815	0.0142733057968122	Hypomethylated	5	3	-2
Hoxb7	chr11	96286622	96290161	-0.0228495501517233	0.0142966603092568	Hypomethylated	1	1	0
Mos	chr4	3870656	3872104	-0.024326868801185	0.0143127473273792	Hypomethylated	1	1	0
Acad12	chr5	121596774	121618937	-0.0149461699070745	0.0143390030330755	Hypomethylated	0	0	0
Csk	chr9	57626645	57653630	0.0130111946825645	0.0143512104029631	Hypermethylated	0	0	0
Tmem74	chr15	43864645	43870035	0.0266293720740698	0.0143557771728188	Hypermethylated	0	2	2
Mrpl58	chr11	115403751	115412673	0.0187326388415194	0.0143742371921656	Hypermethylated	0	0	0
Kif15	chr9	122951045	123018732	0.00730536759178801	0.014383674938272	Hypermethylated	0	0	0
Ccdc25	chr14	65837301	65866606	0.0112352074963906	0.014387685342863	Hypermethylated	0	0	0
Foxq1	chr13	31556133	31560975	-0.0276247198570005	0.0144042651560723	Hypomethylated	5	3	-2
Sec24c	chr14	20674307	20694851	0.0134550399345247	0.0144717965076691	Hypermethylated	0	0	0
Tbcb	chr7	30224130	30232271	0.0172225496443599	0.0144940761338756	Hypermethylated	0	0	0
Abcb5	chr12	118867823	118966420	-0.00785004516462284	0.0145116788903383	Hypomethylated	0	0	0
Ripply3	chr16	94328419	94336934	-0.0192702283998385	0.0145116788903383	Hypomethylated	1	1	0
Fdft1	chr14	63145149	63179577	0.0108742735418018	0.0145608609725861	Hypermethylated	0	1	1
Doc2g	chr19	4003312	4007004	0.039377989645653	0.0146066694680781	Hypermethylated	1	1	0
Tbx19	chr1	165137854	165160772	-0.0105391554261267	0.0146175391784958	Hypomethylated	0	0	0
Srbd1	chr17	85984664	86145174	-0.00442534595350419	0.0146175391784958	Hypomethylated	0	0	0
Esx1	chrX	137115396	137122082	0.00433241323911221	0.0146175391784958	Hypermethylated	3	1	-2
Arf6	chr12	69372149	69373782	0.0390102300439166	0.0146498094996078	Hypermethylated	2	2	0
Rnaseh2c	chr19	5601872	5607018	0.0308895663946983	0.0146749392560515	Hypermethylated	0	0	0
Irak4	chr15	94543642	94581814	-0.00713143868576238	0.0146779827382123	Hypomethylated	0	0	0
Camk1g	chr1	193346345	193370297	0.0161713106764416	0.0147071370045261	Hypermethylated	15	16	1
Acadl	chr1	66830838	66863276	-0.00801634270996321	0.0147664953815917	Hypomethylated	0	0	0
Olfr167	chr16	19509557	19522265	-0.0242863413099892	0.0148566030112213	Hypomethylated	0	0	0
Vmn2r72	chr7	85735939	85755096	-0.0188533281646508	0.0148807824942724	Hypomethylated	0	0	0
Afmid	chr11	117825923	117839907	-0.0152913901504347	0.0148807824942724	Hypomethylated	0	0	0
Art1	chr7	102101742	102113932	-0.0176923582773123	0.0148975897553713	Hypomethylated	0	0	0
Gtf2ird2	chr5	134184018	134224354	0.00791306865403807	0.0149297646444815	Hypermethylated	0	0	0
Prok2	chr6	99711298	99726391	-0.0136287826189636	0.0149560785762156	Hypomethylated	15	10	-5
Cish	chr9	107296025	107302783	0.0207994761925687	0.0149667804999565	Hypermethylated	1	1	0
Commd6	chr14	101632980	101640685	0.018274971221514	0.0149697567051957	Hypermethylated	0	1	1
Lpcat2b	chr5	107431548	107435038	0.0247093112059543	0.0150003214739431	Hypermethylated	0	0	0
Traf7	chr17	24508561	24527937	0.016738622751303	0.0150305568858733	Hypermethylated	0	0	0
Usp42	chr5	143710324	143732279	0.010489000177119	0.0151246366161181	Hypermethylated	1	0	-1
Asb13	chr13	3634031	3653821	0.0131823540390862	0.015151568649118	Hypermethylated	0	1	1
Ppp1cc	chr5	122158277	122175272	0.0136213860133394	0.0151535787813039	Hypermethylated	0	0	0
Adgre1	chr17	57358690	57483526	-0.00832495964478497	0.0151535787813039	Hypomethylated	0	0	0
Dph3	chr14	32080565	32085728	0.0256413956324226	0.0151773146061064	Hypermethylated	0	0	0
Zfp157	chr5	138441467	138460693	0.012755597648348	0.015180864319019	Hypermethylated	0	0	0
Brat1	chr5	140705010	140719378	0.0186888415249672	0.015180864319019	Hypermethylated	0	0	0
Ap2m1	chr16	20535477	20544908	0.0253182844650247	0.015196910887998	Hypermethylated	0	0	0
Taar9	chr10	24108487	24109533	-0.0429451507093283	0.0152123173852922	Hypomethylated	0	0	0
Rpl13a	chr7	45125557	45128760	-0.0254023750360281	0.0152436282840833	Hypomethylated	0	0	0
Elf5	chr2	103411687	103450988	-0.00913483981280261	0.0152730031211692	Hypomethylated	0	1	1
Alx4	chr2	93642383	93681338	-0.0107865005247469	0.0152748746078199	Hypomethylated	10	6	-4
Gpr26	chr7	131966459	131994404	-0.0115245883117367	0.0152851871280185	Hypomethylated	1	0	-1
Tmbim4	chr10	120201589	120224916	0.010647708201755	0.0152851871280185	Hypermethylated	1	0	-1
Aadacl2fm1	chr3	59925213	59937948	0.0202320532211696	0.0153244819985834	Hypermethylated	0	0	0
Kdelr1	chr7	45872771	45883731	0.0183990162627413	0.0153558249717655	Hypermethylated	0	0	0
Rnf43	chr11	87662721	87735538	-0.00650812342435059	0.0153708641649742	Hypomethylated	0	0	0
2700081O15Rik	chr19	7417624	7425903	0.0358096854234269	0.015385131278551	Hypermethylated	0	0	0
Fam181b	chr7	93079864	93081866	0.06306989315693	0.015435228996648	Hypermethylated	0	0	0
Itprid1	chr6	55836894	55978734	-0.00634100632662271	0.0154814117688194	Hypomethylated	1	0	-1
Tpsg1	chr17	25369272	25374441	-0.0355526891219793	0.0154876920224521	Hypomethylated	1	0	-1
Cenpv	chr11	62524945	62539260	0.0176340484792329	0.0154879029705021	Hypermethylated	0	0	0
Zfp511	chr7	140036390	140040601	0.0330008883874556	0.0155139742081261	Hypermethylated	0	0	0
Rem1	chr2	152626950	152635197	-0.0203385209101123	0.0155193762589188	Hypomethylated	0	0	0
Fam71e1	chr7	44496580	44501485	0.0326838778834495	0.0155278032385329	Hypermethylated	0	0	0
Npas4	chr19	4984354	4990315	-0.0276753285041275	0.0155278032385329	Hypomethylated	1	1	0
Cep57	chr9	13807791	13827106	0.0146141474235677	0.0155534839794588	Hypermethylated	0	0	0
Gm28551	chr1	53325506	53352666	0.0118022649773419	0.0155620575526751	Hypermethylated	0	0	0
Vmac	chr17	56713935	56718021	0.0233770158704782	0.0155620575526751	Hypermethylated	0	0	0
Zfp422	chr6	116624015	116628998	0.0241701960211997	0.0155800677977602	Hypermethylated	0	0	0
Psg16	chr7	17074039	17133449	0.0105907568009966	0.0155800677977602	Hypermethylated	0	0	0
Actn3	chr19	4861215	4877908	0.0152651246790021	0.0155858033801086	Hypermethylated	0	0	0
Fam98a	chr17	75537085	75551945	0.0146316484375697	0.0156315331999857	Hypermethylated	0	1	1
Acot12	chr13	91741511	91786147	-0.00792071191237176	0.0156413802847231	Hypomethylated	0	1	1
Gzmn	chr14	56165796	56174598	-0.0231249923039649	0.0156596669881267	Hypomethylated	1	2	1
Zfp946	chr17	22424221	22456688	0.0120649526024781	0.0156854665832484	Hypermethylated	0	0	0
6030498E09Rik	chrX	38772670	38962685	-0.00496169638727184	0.0156942319689429	Hypomethylated	0	0	0
Wdr73	chr7	80890722	80901268	0.02051841434401	0.0157585477286964	Hypermethylated	0	0	0
Ccdc33	chr9	58028676	58118822	-0.00867917700653298	0.0157585477286964	Hypomethylated	13	10	-3
Fkbpl	chr17	34644763	34646323	0.0351999139361199	0.0157758108858454	Hypermethylated	0	0	0
Deaf1	chr7	141297179	141327689	0.0130139122699539	0.0157892622213368	Hypermethylated	0	0	0
Neu4	chr1	94020450	94028333	-0.0222526891067972	0.0157919781942267	Hypomethylated	1	1	0
Zfp637	chr6	117841179	117845955	0.0275380835378642	0.0158082296428435	Hypermethylated	1	1	0
Gm44790	chr6	86426657	86445629	0.0153068874388421	0.0158222209689274	Hypermethylated	0	0	0
Zfpm1	chr8	122282140	122337250	-0.0104456130265734	0.0159420674749489	Hypomethylated	6	4	-2
Psme2	chr14	55587440	55591112	0.0279420372063803	0.0160267418818011	Hypermethylated	0	1	1
Ccdc158	chr5	92607953	92675270	-0.00711571298440195	0.0160305704964204	Hypomethylated	1	1	0
Foxd1	chr13	98354241	98359304	-0.0172942686968115	0.0160489819627027	Hypomethylated	4	3	-1
Tomt	chr7	101898369	101906358	0.0225749095545544	0.0160531870511698	Hypermethylated	0	0	0
Eid3	chr10	82866625	82867929	0.0489779952646638	0.0160779475782305	Hypermethylated	0	0	0
Plekhb2	chr1	34849975	34879579	0.0105816581986424	0.0160818263748015	Hypermethylated	4	3	-1
Rbpj	chr5	53466151	53657361	0.00455938925967136	0.0160818263748015	Hypermethylated	3	2	-1
Dock6	chr9	21799859	21852634	-0.00893548151036705	0.0160969612367346	Hypomethylated	0	0	0
Sstr4	chr2	148395343	148396766	-0.0500299130535046	0.0161533465200973	Hypomethylated	0	0	0
Prm1	chr16	10796325	10805838	-0.0200867917004985	0.0161533465200973	Hypomethylated	0	0	0
Sptlc2	chr12	87305057	87388354	0.00724251516886854	0.0161589850493135	Hypermethylated	0	1	1
Prrt3	chr6	113493638	113501930	0.026704624112565	0.0161989028233132	Hypermethylated	0	0	0
Gdf15	chr8	70629392	70632455	-0.0438927558719879	0.0162227852019974	Hypomethylated	0	0	0
Plekha4	chr7	45526329	45554228	0.0124964079050679	0.0162342374529861	Hypermethylated	0	0	0
Sumf1	chr6	108107027	108185581	0.00702605366033993	0.0162407245647367	Hypermethylated	0	0	0
H2-Ke6	chr17	34026032	34028059	0.0402933275327481	0.0162408138656364	Hypermethylated	0	0	0
Tmem200b	chr4	131921199	131923139	-0.0993123161759927	0.0162422603057443	Hypomethylated	0	0	0
Pdss1	chr2	22895521	22940265	0.00966528138053924	0.0162496611825301	Hypermethylated	0	0	0
Dennd4a	chr9	64811339	64919666	0.00610466458750969	0.0162496611825301	Hypermethylated	0	0	0
Kcnk6	chr7	29221925	29232514	-0.0226220435450121	0.0162763434772896	Hypomethylated	0	0	0
Tjp2	chr19	24094504	24225029	-0.00427518169979435	0.0163094892785402	Hypomethylated	2	2	0
Hoxd9	chr2	74697726	74700207	-0.0146892972971704	0.0163159538914627	Hypomethylated	0	0	0
Cops8	chr1	90602980	90613340	0.0186872685110826	0.0163402778083145	Hypermethylated	7	5	-2
Kcnj11	chr7	46093952	46100763	0.0258640580365313	0.0163417815230205	Hypermethylated	0	1	1
Eci2	chr13	34977747	35027095	0.00835944915051212	0.0163719276711858	Hypermethylated	0	2	2
Deptor	chr15	55112316	55259270	-0.00506252776291216	0.0163719276711858	Hypomethylated	1	1	0
Eif3k	chr7	28971371	28981863	0.0173010364458021	0.0164038097237818	Hypermethylated	0	0	0
Pard3b	chr1	61638823	62642283	-0.00207415012054157	0.0164046260590689	Hypomethylated	2	3	1
Cacna1i	chr15	80287237	80398278	0.00640142936843702	0.0164652158178688	Hypermethylated	8	2	-6
Moap1	chr12	102742229	102743660	0.0401247203285917	0.0165412750211067	Hypermethylated	0	0	0
Prpsap2	chr11	61729649	61762087	0.0121714584389938	0.0165653060065104	Hypermethylated	0	0	0
Crybb2	chr5	113058257	113070116	-0.0180364069276505	0.0165721341199547	Hypomethylated	0	0	0
Cep152	chr2	125563087	125625112	-0.00618593167707748	0.01659794207941	Hypomethylated	0	1	1
Prss23	chr7	89507782	89527186	-0.0114998532400385	0.0166295775772095	Hypomethylated	2	2	0
Ifit1bl1	chr19	34592890	34601955	-0.0207159587197459	0.0166375135667409	Hypomethylated	1	1	0
Rhbdd2	chr5	135632617	135646447	0.0173342374019815	0.0166620679978521	Hypermethylated	0	0	0
D630003M21Rik	chr2	158182532	158229221	-0.0107771882511556	0.0166718411414993	Hypomethylated	3	4	1
Skint10	chr4	112711146	112774865	-0.011722774804136	0.0166873475045255	Hypomethylated	0	0	0
Clu	chr14	65968482	65981546	0.0159774944142098	0.0166976142366792	Hypermethylated	1	1	0
Nwd2	chr5	63649101	63810545	-0.00467594741974309	0.0166990451084857	Hypomethylated	1	1	0
Lpcat2	chr8	92855338	92919278	-0.00646166581080232	0.0167234776004365	Hypomethylated	2	1	-1
Tapbpl	chr6	125223932	125231859	0.0262590382487323	0.016728273759646	Hypermethylated	0	0	0
Lig4	chr8	9969048	9977685	0.0168092989720348	0.0167763932250159	Hypermethylated	1	1	0
Thbs3	chr3	89215179	89226836	-0.0203990403542313	0.0167845073851724	Hypomethylated	0	0	0
Rflna	chr5	125003220	125012546	-0.0259632638315168	0.0168105254086015	Hypomethylated	10	5	-5
Chmp6	chr11	119913440	119919547	0.0319173291006694	0.016819907380505	Hypermethylated	0	0	0
Tmem101	chr11	102152545	102156403	0.029484687227697	0.0168925296658789	Hypermethylated	1	0	-1
Neurod4	chr10	130268151	130280239	0.0259755496425293	0.0169231019696718	Hypermethylated	0	0	0
Rrp8	chr7	105731729	105737384	0.0259304996332649	0.0169663044338882	Hypermethylated	0	0	0
Ubiad1	chr4	148434494	148444770	0.0225694640549211	0.0170148727849356	Hypermethylated	3	2	-1
Lrch4	chr5	137629120	137641098	0.0181986568166561	0.0170148727849356	Hypermethylated	0	0	0
Pigc	chr1	161969185	161973434	0.0244233392286052	0.017024945064203	Hypermethylated	0	1	1
Fam173a	chr17	25790079	25792900	0.0335369082071068	0.0170617154378787	Hypermethylated	0	0	0
Afp	chr5	90490736	90508906	-0.011923705328938	0.0171427859909	Hypomethylated	0	0	0
Arl4c	chr1	88673124	88702220	-0.0128938579313681	0.0172213709160767	Hypomethylated	2	2	0
Med4	chr14	73510024	73518848	0.0199387287026648	0.0172213709160767	Hypermethylated	0	0	0
Trpv5	chr6	41652172	41680768	-0.0118230026201807	0.017224657237478	Hypomethylated	0	0	0
Tspan10	chr11	120442643	120446949	-0.0361370986244941	0.0172687178831717	Hypomethylated	0	0	0
Rpl17	chr18	74998557	75003380	0.0241543364894549	0.0172761115617546	Hypermethylated	0	0	0
Aup1	chr6	83054520	83057807	0.0400846186707209	0.0172915906914965	Hypermethylated	0	1	1
Itk	chr11	46325149	46389514	-0.00687841570512093	0.0172926418285848	Hypomethylated	0	0	0
Olfr361	chr2	37083735	37089289	-0.0371594211982165	0.0172950421090523	Hypomethylated	0	0	0
Casq2	chr3	102086414	102146513	-0.00789082165828181	0.0173049116643692	Hypomethylated	3	0	-3
Npr1	chr3	90450590	90465865	-0.0174255379536709	0.0173118522922786	Hypomethylated	1	0	-1
7530416G11Rik	chr15	85492735	85503226	-0.0254754667681767	0.0173794657430983	Hypomethylated	8	4	-4
Dus3l	chr17	56764756	56770092	0.0246039661841945	0.0173903633981651	Hypermethylated	0	0	0
Tmco1	chr1	167308377	167333977	0.0105582358028866	0.0174029522372248	Hypermethylated	0	0	0
Tmem128	chr5	38260184	38269633	0.0177683073052647	0.0174189166131453	Hypermethylated	0	0	0
Gm7072	chr17	22285870	22314836	0.0122409093651442	0.0174354073381548	Hypermethylated	0	0	0
Tmem198b	chr10	128800035	128804369	0.0352236987158416	0.0174374152702443	Hypermethylated	0	0	0
Arhgef39	chr4	43496141	43499694	0.0342352956290622	0.0174374575011733	Hypermethylated	1	1	0
Fscn1	chr5	142960342	142973184	-0.0206655998597365	0.0175034042066505	Hypomethylated	2	0	-2
Catspere2	chr1	177983422	178172704	-0.00502511139863138	0.0175246085859595	Hypomethylated	0	0	0
Ssrp1	chr2	85037233	85047108	0.0166234299126699	0.0175291443093297	Hypermethylated	0	0	0
Nppc	chr1	86666290	86670570	-0.0373329586265964	0.0175683913410422	Hypomethylated	2	2	0
Kif3c	chr12	3365131	3406493	0.0132085848662022	0.0175800780969906	Hypermethylated	0	0	0
Mustn1	chr14	30879199	30881609	-0.0350573863490522	0.0176127160294097	Hypomethylated	2	1	-1
Il12a	chr3	68690643	68698546	-0.0192492255665434	0.0176290715768889	Hypomethylated	10	10	0
Ggn	chr7	29170209	29173975	-0.0346598039880798	0.0176509738523023	Hypomethylated	0	0	0
Pum3	chr19	27388697	27429824	0.00802614907555366	0.0176509738523023	Hypermethylated	7	6	-1
Ctnnd2	chr15	30172592	31029340	0.0024308168873991	0.0176818622792789	Hypermethylated	5	3	-2
Cfl1	chr19	5490454	5495200	0.0280104984413766	0.0176818622792789	Hypermethylated	0	0	0
Arpc5	chr1	152766541	152775596	0.0218385155346316	0.017732822371138	Hypermethylated	0	0	0
Itgb2l	chr16	96422287	96443618	-0.0155435222635979	0.0177452361104882	Hypomethylated	1	0	-1
Dnase2b	chr3	146580984	146615595	-0.00811494188736606	0.0178077715225425	Hypomethylated	1	1	0
Npc1l1	chr11	6211012	6230142	-0.0118210501250204	0.0178256086052415	Hypomethylated	0	0	0
Rgma	chr7	73375508	73419898	0.00989519677307549	0.0178297553714062	Hypermethylated	1	2	1
Ttc4	chr4	106662255	106678943	0.0146119342403077	0.0178300090572286	Hypermethylated	0	0	0
Mmp3	chr9	7445821	7455974	-0.0236221388857262	0.0178431891982822	Hypomethylated	0	0	0
Bcap29	chr12	31590966	31634657	0.00952591529562496	0.0178746050259322	Hypermethylated	0	0	0
Ptgds	chr2	25466708	25470045	0.0431120282516603	0.017893875428101	Hypermethylated	2	2	0
Atp6ap2	chrX	12587800	12617048	0.0186137931314182	0.0178999390184574	Hypermethylated	0	0	0
Slc31a1	chr4	62360726	62391768	0.0114046071559246	0.0179057258518424	Hypermethylated	0	1	1
Uba1	chrX	20658325	20683178	0.0208674166148342	0.0179410651630901	Hypermethylated	0	0	0
P3h1	chr4	119232914	119248974	-0.0152540931975615	0.0179479820143143	Hypomethylated	0	0	0
Itih2	chr2	10094592	10131395	-0.00873662887371351	0.0179880554870103	Hypomethylated	0	0	0
Rnase10	chr14	51007750	51010757	-0.0389728152668943	0.0179880554870103	Hypomethylated	0	0	0
Gramd1c	chr16	43980349	44063344	-0.00508942576661742	0.0180049938586636	Hypomethylated	0	0	0
Dhcr24	chr4	106561037	106589112	0.00930525971034624	0.0180888176367105	Hypermethylated	1	1	0
Brsk1	chr7	4690603	4715996	0.0113766117695924	0.0180981594017456	Hypermethylated	0	0	0
Fyb2	chr4	104913455	105016862	-0.00524432299273248	0.0181306801255271	Hypomethylated	2	2	0
Lamc2	chr1	153122755	153186446	-0.00686315446275532	0.0181653940916697	Hypomethylated	3	4	1
Lrrc74a	chr12	86734368	86763796	-0.00986232358140726	0.0181681034555736	Hypomethylated	2	3	1
Slc7a4	chr16	17572017	17583213	0.0200785882409789	0.0181883174369772	Hypermethylated	1	1	0
Efnb3	chr11	69554091	69560204	-0.0385904466449292	0.0181947666729419	Hypomethylated	1	0	-1
Trim41	chr11	48806403	48817352	0.0254971264191043	0.018197369041563	Hypermethylated	0	0	0
Hes6	chr1	91411482	91414037	0.0385855295183233	0.0182411403188726	Hypermethylated	2	1	-1
Spx	chr6	142413440	142419729	-0.0223259383328454	0.0182913863255424	Hypomethylated	0	0	0
Txnip	chr3	96557956	96561882	-0.0248655115055327	0.0183279433081449	Hypomethylated	1	1	0
Echs1	chr7	140105709	140116475	0.0160144716920055	0.0183556397154299	Hypermethylated	0	0	0
Tmem176a	chr6	48840918	48847070	-0.0271156462130245	0.0183698455814312	Hypomethylated	1	0	-1
Inhbb	chr1	119415464	119422247	-0.0250439391666114	0.018386403337671	Hypomethylated	9	7	-2
Prdx5	chr19	6906696	6910105	0.0264279334167399	0.018386403337671	Hypermethylated	0	0	0
Gucy1b1	chr3	82032005	82074688	0.0102391943994234	0.0184146875195976	Hypermethylated	1	1	0
Upk2	chr9	44452714	44454975	-0.0410074304349397	0.0184253438389578	Hypomethylated	1	0	-1
2610008E11Rik	chr10	79064373	79097599	0.0127548036128103	0.0184539585588997	Hypermethylated	0	0	0
Pspn	chr17	56999456	57000017	0.0546467686002717	0.0184659264894639	Hypermethylated	0	0	0
Katnal1	chr5	148871583	148929319	0.0073747586420575	0.0184749011633617	Hypermethylated	0	0	0
Rps13	chr7	116331504	116334194	0.0408532758198401	0.0184851120088312	Hypermethylated	0	0	0
Defa21	chr8	21025544	21026515	-0.0421928377803616	0.0184964190295495	Hypomethylated	0	0	0
Celsr2	chr3	108390850	108415551	0.011975123094157	0.0185309929731848	Hypermethylated	4	2	-2
Cd40lg	chrX	57212142	57224041	-0.0265849595677843	0.0185309929731848	Hypomethylated	0	0	0
Itgae	chr11	73090582	73147445	-0.00835481032422436	0.0185487592767963	Hypomethylated	0	0	0
Fam216a	chr5	122364579	122372363	0.0238049488947417	0.0185996469050276	Hypermethylated	0	0	0
Hdhd2	chr18	76944091	76975306	0.0100748614262016	0.0186237007957091	Hypermethylated	0	0	0
Gk2	chr5	97455141	97457020	-0.0195676136476919	0.0186293977189258	Hypomethylated	5	7	2
Dvl1	chr4	155847401	155859302	0.0196932733618017	0.0186471497081221	Hypermethylated	0	0	0
Snx16	chr3	10417816	10440101	0.0143193615634332	0.0186744351273697	Hypermethylated	0	1	1
Zfp664	chr5	124862690	124902692	0.0116989306314507	0.0186955019187521	Hypermethylated	1	1	0
Fbl	chr7	28169709	28179268	0.0181824883914201	0.0186963257658307	Hypermethylated	0	0	0
Cfd	chr10	79890852	79892654	-0.0321496855194955	0.0187157769962077	Hypomethylated	1	0	-1
Nup107	chr10	117750620	117792704	0.00566601560064239	0.0187313200524065	Hypermethylated	0	0	0
Cyp17a1	chr19	46667164	46673171	-0.0245645485115973	0.0187339758799995	Hypomethylated	1	0	-1
Thg1l	chr11	45946842	45955493	0.017639326261649	0.0187372550204452	Hypermethylated	0	0	0
Aimp2	chr5	143902703	143909846	-0.0205824977730096	0.0187940097935984	Hypomethylated	0	0	0
Aldob	chr4	49535994	49549545	0.0171454245368883	0.0188103226742814	Hypermethylated	1	1	0
