Chr	Start	End	cluster	mecp2_class	chromatin_state
chr16	13428542	13428942	Cluster 1	MeCP2 Up	Poised_Enhancer
chr2	65088766	65089166	Cluster 2	MeCP2 Up	Unmarked
chr10	109243150	109243550	Cluster 3	MeCP2 Down	Polycomb
chr3	18014933	18015333	Cluster 2	MeCP2 Up	Poised_Enhancer
chr10	85486420	85486820	Cluster 3	MeCP2 Down	Unmarked
chr3	21728600	21729000	Cluster 3	MeCP2 Up	Active_Enhancer
chrX	166333329	166333729	Cluster 2	MeCP2 Up	Unmarked
chr1	154619103	154619503	Cluster 3	MeCP2 Down	Unmarked
chr1	53226119	53226519	Cluster 4	MeCP2 Up	Poised_Enhancer
chr3	17795516	17795916	Cluster 1	MeCP2 Up	Bivalent_Promoter
chr8	87618544	87618944	Cluster 1	MeCP2 Up	Active_Enhancer
chrX	14600882	14601282	Cluster 2	MeCP2 Up	Unmarked
chr12	89790413	89790813	Cluster 2	MeCP2 Up	Unmarked
chr4	33526984	33527384	Cluster 1	MeCP2 Up	Poised_Enhancer
chr10	118651183	118651583	Cluster 3	MeCP2 Up	Poised_Enhancer
chr12	26218838	26219238	Cluster 2	MeCP2 Up	Poised_Enhancer
chr7	74401243	74401643	Cluster 1	MeCP2 Up	Unmarked
chr9	62124137	62124537	Cluster 4	MeCP2 Up	Unmarked
chr10	105510961	105511361	Cluster 1	MeCP2 Up	Unmarked
chr12	86890940	86891340	Cluster 1	MeCP2 Up	Poised_Enhancer
chr3	123872818	123873218	Cluster 2	MeCP2 Up	Unmarked
chr2	141620761	141621161	Cluster 4	MeCP2 Up	Unmarked
chr2	41758505	41758905	Cluster 1	MeCP2 Up	Poised_Enhancer
chr12	77569204	77569604	Cluster 1	MeCP2 Up	Unmarked
chr1	62794609	62795009	Cluster 3	MeCP2 Down	Polycomb
chr1	68892201	68892601	Cluster 1	MeCP2 Up	Poised_Enhancer
chr5	71755451	71755851	Cluster 2	MeCP2 Up	Unmarked
chr16	63796668	63797068	Cluster 3	MeCP2 Up	Unmarked
chr13	45654766	45655166	Cluster 3	MeCP2 Down	Unmarked
chr18	82407530	82407930	Cluster 3	MeCP2 Down	Bivalent_Promoter
chr9	47425319	47425719	Cluster 2	MeCP2 Up	Unmarked
chr2	124091798	124092198	Cluster 3	MeCP2 Up	Repressed_Promoter
chr3	100095593	100095993	Cluster 1	MeCP2 Up	Poised_Enhancer
chr6	28574156	28574556	Cluster 1	MeCP2 Up	Unmarked
chr2	137703097	137703497	Cluster 4	MeCP2 Up	Unmarked
chr12	52872124	52872524	Cluster 4	MeCP2 Down	Unmarked
chr8	113882727	113883127	Cluster 3	MeCP2 Up	Unmarked
chr2	138940534	138940934	Cluster 1	MeCP2 Up	Poised_Enhancer
chr5	102103208	102103608	Cluster 2	MeCP2 Up	Poised_Enhancer
chr12	100895055	100895455	Cluster 1	MeCP2 Up	Unmarked
chr13	101236302	101236702	Cluster 1	MeCP2 Up	Unmarked
chr10	96211477	96211877	Cluster 2	MeCP2 Up	Unmarked
chr7	51887129	51887529	Cluster 2	MeCP2 Down	Unmarked
chr16	43130922	43131322	Cluster 1	MeCP2 Up	Active_Enhancer
chr4	39211943	39212343	Cluster 2	MeCP2 Up	Unmarked
chr13	29275679	29276079	Cluster 1	MeCP2 Up	Unmarked
chr16	44626815	44627215	Cluster 1	MeCP2 Up	Unmarked
chr7	124920108	124920508	Cluster 2	MeCP2 Up	Unmarked
chr4	82510064	82510464	Cluster 1	MeCP2 Up	Active_Enhancer
chr4	26405363	26405763	Cluster 1	MeCP2 Up	Unmarked
chr12	39057616	39058016	Cluster 2	MeCP2 Up	Unmarked
chrX	166089422	166089822	Cluster 2	MeCP2 Up	Unmarked
chr14	120133161	120133561	Cluster 2	MeCP2 Up	Unmarked
chr5	74269391	74269791	Cluster 3	MeCP2 Up	Unmarked
chr10	106376747	106377147	Cluster 2	MeCP2 Up	Poised_Enhancer
chr14	24789299	24789699	Cluster 1	MeCP2 Up	Unmarked
chr4	155120165	155120565	Cluster 1	MeCP2 Down	Unmarked
chr18	47854046	47854446	Cluster 3	MeCP2 Up	Poised_Enhancer
chr2	65939147	65939547	Cluster 3	MeCP2 Down	Polycomb
chr3	77832523	77832923	Cluster 3	MeCP2 Up	Poised_Enhancer
chr10	97076648	97077048	Cluster 1	MeCP2 Up	Unmarked
chr11	118955829	118956229	Cluster 1	MeCP2 Up	Unmarked
chr12	14115957	14116357	Cluster 2	MeCP2 Up	Unmarked
chr5	117064793	117065193	Cluster 1	MeCP2 Up	Poised_Enhancer
chr4	137307439	137307839	Cluster 3	MeCP2 Down	Unmarked
chr9	60624048	60624448	Cluster 1	MeCP2 Up	Active_Enhancer
chr13	44659672	44660072	Cluster 1	MeCP2 Up	Poised_Enhancer
chr2	98536548	98536948	Cluster 2	MeCP2 Up	Unmarked
chr14	82460924	82461324	Cluster 2	MeCP2 Up	Unmarked
chr12	83129773	83130173	Cluster 2	MeCP2 Up	Unmarked
chr4	155026440	155026840	Cluster 4	MeCP2 Up	Unmarked
chr13	101549706	101550106	Cluster 3	MeCP2 Up	Unmarked
chr12	26181758	26182158	Cluster 1	MeCP2 Up	Poised_Enhancer
chr1	24517850	24518250	Cluster 2	MeCP2 Up	Unmarked
chr6	19279166	19279566	Cluster 2	MeCP2 Up	Unmarked
chr6	24087928	24088328	Cluster 2	MeCP2 Up	Unmarked
chr4	83238130	83238530	Cluster 1	MeCP2 Up	Unmarked
chr10	94131101	94131501	Cluster 1	MeCP2 Up	Unmarked
chr4	56012912	56013312	Cluster 2	MeCP2 Up	Polycomb
chr2	138479652	138480052	Cluster 1	MeCP2 Up	Poised_Enhancer
chr5	131781113	131781513	Cluster 4	MeCP2 Down	Unmarked
chr6	62202498	62202898	Cluster 2	MeCP2 Up	Active_Enhancer
chr16	6076634	6077034	Cluster 4	MeCP2 Up	Unmarked
chr13	40021694	40022094	Cluster 4	MeCP2 Up	Poised_Enhancer
chr13	117609056	117609456	Cluster 2	MeCP2 Up	Unmarked
chr5	64193509	64193909	Cluster 3	MeCP2 Down	Unmarked
chr5	103801911	103802311	Cluster 2	MeCP2 Up	Unmarked
chr7	133611209	133611609	Cluster 1	MeCP2 Up	Unmarked
chr13	57948065	57948465	Cluster 3	MeCP2 Up	Unmarked
chr11	35302820	35303220	Cluster 1	MeCP2 Up	Unmarked
chr7	132230985	132231385	Cluster 1	MeCP2 Up	Active_Enhancer
chr5	82941094	82941494	Cluster 2	MeCP2 Up	Unmarked
chr12	67092610	67093010	Cluster 4	MeCP2 Up	Unmarked
chr16	24942824	24943224	Cluster 1	MeCP2 Up	Active_Enhancer
chr10	108830461	108830861	Cluster 1	MeCP2 Up	Active_Enhancer
chr5	129451289	129451689	Cluster 2	MeCP2 Up	Unmarked
chr4	58182121	58182521	Cluster 1	MeCP2 Up	Unmarked
chrX	84075358	84075758	Cluster 4	MeCP2 Up	Unmarked
chr2	65941887	65942287	Cluster 3	MeCP2 Down	Unmarked
chr2	138764087	138764487	Cluster 1	MeCP2 Up	Unmarked
chr9	33293012	33293412	Cluster 2	MeCP2 Up	Unmarked
chr5	49717920	49718320	Cluster 2	MeCP2 Up	Unmarked
chr5	49810404	49810804	Cluster 2	MeCP2 Up	Unmarked
chr7	91286300	91286700	Cluster 2	MeCP2 Up	Unmarked
chr4	128223385	128223785	Cluster 3	MeCP2 Down	Unmarked
chr2	97229505	97229905	Cluster 2	MeCP2 Up	Unmarked
chr11	93811237	93811637	Cluster 2	MeCP2 Up	Unmarked
chr7	90031024	90031424	Cluster 1	MeCP2 Up	Unmarked
chr14	58785101	58785501	Cluster 1	MeCP2 Up	Unmarked
chr2	134787880	134788280	Cluster 3	MeCP2 Down	Bivalent_Promoter
chr10	93279062	93279462	Cluster 1	MeCP2 Up	Unmarked
chr14	25076950	25077350	Cluster 1	MeCP2 Up	Unmarked
chr5	38848031	38848431	Cluster 3	MeCP2 Up	Unmarked
chr3	77779010	77779410	Cluster 2	MeCP2 Up	Unmarked
chr1	23653677	23654077	Cluster 1	MeCP2 Up	Active_Enhancer
chr1	24183488	24183888	Cluster 4	MeCP2 Up	Unmarked
chr12	108430827	108431227	Cluster 1	MeCP2 Up	Unmarked
chr16	86688021	86688421	Cluster 2	MeCP2 Up	Unmarked
chr7	51631078	51631478	Cluster 3	MeCP2 Down	Unmarked
chr7	142635000	142635400	Cluster 3	MeCP2 Down	Polycomb
chr9	47124794	47125194	Cluster 3	MeCP2 Down	Unmarked
chr3	121289708	121290108	Cluster 1	MeCP2 Up	Unmarked
chr8	67845858	67846258	Cluster 2	MeCP2 Up	Unmarked
chr1	193948771	193949171	Cluster 3	MeCP2 Down	Unmarked
chr12	39328485	39328885	Cluster 4	MeCP2 Up	Poised_Enhancer
chr13	40037064	40037464	Cluster 1	MeCP2 Down	Active_Enhancer
chr5	86303391	86303791	Cluster 3	MeCP2 Up	Unmarked
chr4	13563519	13563919	Cluster 2	MeCP2 Up	Unmarked
chr1	70929147	70929547	Cluster 2	MeCP2 Up	Unmarked
chr9	113432774	113433174	Cluster 1	MeCP2 Up	Poised_Enhancer
chr6	13845466	13845866	Cluster 3	MeCP2 Up	Unmarked
chr2	78163441	78163841	Cluster 2	MeCP2 Up	Unmarked
chr7	67500035	67500435	Cluster 3	MeCP2 Up	Poised_Enhancer
chr6	6003585	6003985	Cluster 3	MeCP2 Up	Unmarked
chr12	5939855	5940255	Cluster 2	MeCP2 Up	Unmarked
chr1	192385226	192385626	Cluster 1	MeCP2 Up	Active_Enhancer
chr6	137102517	137102917	Cluster 2	MeCP2 Up	Poised_Enhancer
chr1	147310929	147311329	Cluster 2	MeCP2 Up	Unmarked
chr1	186676784	186677184	Cluster 3	MeCP2 Down	Unmarked
chr1	182460808	182461208	Cluster 1	MeCP2 Up	Poised_Enhancer
chr13	117599756	117600156	Cluster 3	MeCP2 Up	Unmarked
chr12	91058770	91059170	Cluster 1	MeCP2 Up	Poised_Enhancer
chr5	141713691	141714091	Cluster 2	MeCP2 Down	Unmarked
chr9	94279629	94280029	Cluster 4	MeCP2 Up	Active_Enhancer
chr14	9199350	9199750	Cluster 2	MeCP2 Up	Unmarked
chr19	21159098	21159498	Cluster 2	MeCP2 Up	Unmarked
chr9	28358710	28359110	Cluster 1	MeCP2 Up	Unmarked
chr5	68111049	68111449	Cluster 2	MeCP2 Up	Unmarked
chr10	100615970	100616370	Cluster 1	MeCP2 Up	Poised_Enhancer
chr10	66331624	66332024	Cluster 3	MeCP2 Up	Unmarked
chrX	18418451	18418851	Cluster 2	MeCP2 Up	Active_Enhancer
chr8	87824895	87825295	Cluster 3	MeCP2 Down	Unmarked
chr5	49323630	49324030	Cluster 2	MeCP2 Up	Unmarked
chr1	48456846	48457246	Cluster 2	MeCP2 Up	Unmarked
chr5	35947239	35947639	Cluster 3	MeCP2 Down	Polycomb
chr4	38993096	38993496	Cluster 2	MeCP2 Up	Unmarked
chr8	29973986	29974386	Cluster 2	MeCP2 Up	Unmarked
chr5	142256212	142256612	Cluster 1	MeCP2 Up	Poised_Enhancer
chr17	26523953	26524353	Cluster 1	MeCP2 Up	Unmarked
chr16	7831032	7831432	Cluster 1	MeCP2 Up	Poised_Enhancer
chr3	51907351	51907751	Cluster 1	MeCP2 Up	Unmarked
chr11	109583054	109583454	Cluster 3	MeCP2 Up	Unmarked
chr3	52009452	52009852	Cluster 1	MeCP2 Up	Poised_Enhancer
chr4	67549514	67549914	Cluster 2	MeCP2 Up	Unmarked
chr2	140823480	140823880	Cluster 2	MeCP2 Up	Poised_Enhancer
chr16	82647791	82648191	Cluster 2	MeCP2 Up	Unmarked
chr10	5194475	5194875	Cluster 1	MeCP2 Down	Unmarked
chr15	66288547	66288947	Cluster 4	MeCP2 Up	Unmarked
chr11	67106656	67107056	Cluster 2	MeCP2 Up	Unmarked
chr4	75473378	75473778	Cluster 2	MeCP2 Up	Unmarked
chr18	55393889	55394289	Cluster 2	MeCP2 Up	Unmarked
chr4	46828401	46828801	Cluster 1	MeCP2 Down	Poised_Enhancer
chr8	15202743	15203143	Cluster 3	MeCP2 Up	Unmarked
chr17	64208830	64209230	Cluster 2	MeCP2 Up	Poised_Enhancer
chr14	82211723	82212123	Cluster 2	MeCP2 Up	Unmarked
chr16	41913355	41913755	Cluster 1	MeCP2 Up	Unmarked
chr3	139894828	139895228	Cluster 2	MeCP2 Up	Unmarked
chr14	82450175	82450575	Cluster 2	MeCP2 Up	Unmarked
chr2	58149394	58149794	Cluster 2	MeCP2 Up	Unmarked
chr16	66890745	66891145	Cluster 1	MeCP2 Up	Unmarked
chr19	23549152	23549552	Cluster 2	MeCP2 Up	Unmarked
chr11	113190397	113190797	Cluster 3	MeCP2 Down	Unmarked
chr10	36382520	36382920	Cluster 2	MeCP2 Up	Unmarked
chr15	42070128	42070528	Cluster 2	MeCP2 Up	Unmarked
chr9	10620410	10620810	Cluster 2	MeCP2 Up	Unmarked
chr5	57744589	57744989	Cluster 2	MeCP2 Up	Unmarked
chr13	91458648	91459048	Cluster 1	MeCP2 Up	Unmarked
chr3	109928571	109928971	Cluster 3	MeCP2 Up	Unmarked
chr7	124852042	124852442	Cluster 2	MeCP2 Up	Unmarked
chrX	61114651	61115051	Cluster 2	MeCP2 Up	Unmarked
chr3	77785914	77786314	Cluster 2	MeCP2 Up	Unmarked
chr16	42005670	42006070	Cluster 2	MeCP2 Up	Unmarked
chrX	50424740	50425140	Cluster 2	MeCP2 Up	Unmarked
chr18	57668916	57669316	Cluster 4	MeCP2 Up	Unmarked
chr8	113871492	113871892	Cluster 2	MeCP2 Up	Unmarked
chr7	125926983	125927383	Cluster 3	MeCP2 Down	Unmarked
chr18	14252464	14252864	Cluster 3	MeCP2 Up	Poised_Enhancer
chr5	60270646	60271046	Cluster 2	MeCP2 Up	Unmarked
chr11	18015701	18016101	Cluster 3	MeCP2 Up	Unmarked
chr5	66924267	66924667	Cluster 1	MeCP2 Down	Unmarked
chr7	58841383	58841783	Cluster 2	MeCP2 Up	Unmarked
chr4	98546967	98547367	Cluster 1	MeCP2 Up	Active_Promoter
chr1	152163367	152163767	Cluster 2	MeCP2 Up	Unmarked
chr17	10963807	10964207	Cluster 2	MeCP2 Up	Unmarked
chr16	47019182	47019582	Cluster 4	MeCP2 Up	Unmarked
chr13	113990949	113991349	Cluster 1	MeCP2 Up	Unmarked
chr11	65406305	65406705	Cluster 3	MeCP2 Up	Unmarked
chr2	94521627	94522027	Cluster 1	MeCP2 Up	Unmarked
chr15	62044906	62045306	Cluster 2	MeCP2 Up	Unmarked
chr6	107061434	107061834	Cluster 1	MeCP2 Up	Unmarked
chr10	76584866	76585266	Cluster 2	MeCP2 Down	Repressed_Promoter
chr2	151978464	151978864	Cluster 1	MeCP2 Up	Unmarked
chr13	92903715	92904115	Cluster 1	MeCP2 Up	Poised_Enhancer
chr3	100071708	100072108	Cluster 2	MeCP2 Up	Unmarked
chr19	57219736	57220136	Cluster 1	MeCP2 Down	Active_Enhancer
chr13	43803265	43803665	Cluster 1	MeCP2 Up	Unmarked
chr17	11032520	11032920	Cluster 1	MeCP2 Up	Unmarked
chr9	28748077	28748477	Cluster 2	MeCP2 Up	Unmarked
chr1	6759586	6759986	Cluster 1	MeCP2 Up	Active_Enhancer
chr16	68403051	68403451	Cluster 2	MeCP2 Up	Unmarked
chr3	133168144	133168544	Cluster 1	MeCP2 Up	Poised_Enhancer
chr2	110910099	110910499	Cluster 2	MeCP2 Up	Poised_Enhancer
chr19	22805283	22805683	Cluster 4	MeCP2 Up	Poised_Enhancer
chr10	126523607	126524007	Cluster 1	MeCP2 Up	Unmarked
chr4	97873168	97873568	Cluster 4	MeCP2 Up	Poised_Enhancer
chr10	109006474	109006874	Cluster 1	MeCP2 Up	Active_Enhancer
chr6	56433594	56433994	Cluster 2	MeCP2 Up	Unmarked
chr1	109990222	109990622	Cluster 1	MeCP2 Up	Active_Enhancer
chr10	65767886	65768286	Cluster 2	MeCP2 Up	Unmarked
chr2	134909314	134909714	Cluster 3	MeCP2 Up	Unmarked
chr4	33521885	33522285	Cluster 1	MeCP2 Up	Active_Enhancer
chr16	76222277	76222677	Cluster 2	MeCP2 Up	Unmarked
chr3	38466218	38466618	Cluster 3	MeCP2 Up	Poised_Enhancer
chr3	25206701	25207101	Cluster 1	MeCP2 Up	Active_Enhancer
chr15	53827048	53827448	Cluster 1	MeCP2 Up	Unmarked
chr8	5673329	5673729	Cluster 4	MeCP2 Up	Unmarked
chr6	13976755	13977155	Cluster 1	MeCP2 Up	Unmarked
chr9	102078116	102078516	Cluster 3	MeCP2 Down	Unmarked
chr7	92158343	92158743	Cluster 1	MeCP2 Up	Poised_Enhancer
chr8	26691067	26691467	Cluster 3	MeCP2 Up	Unmarked
chr4	139672767	139673167	Cluster 2	MeCP2 Down	Unmarked
chr2	159282778	159283178	Cluster 3	MeCP2 Up	Polycomb
chr16	24151814	24152214	Cluster 3	MeCP2 Up	Unmarked
chr5	142143672	142144072	Cluster 2	MeCP2 Up	Unmarked
chr5	68350941	68351341	Cluster 1	MeCP2 Up	Active_Enhancer
chr15	4498916	4499316	Cluster 1	MeCP2 Up	Active_Enhancer
chr18	62048873	62049273	Cluster 1	MeCP2 Up	Poised_Enhancer
chr15	34048276	34048676	Cluster 1	MeCP2 Up	Unmarked
chr18	56803978	56804378	Cluster 1	MeCP2 Up	Poised_Enhancer
chr4	148373564	148373964	Cluster 3	MeCP2 Up	Unmarked
chr4	81934291	81934691	Cluster 1	MeCP2 Up	Unmarked
chr15	53741845	53742245	Cluster 1	MeCP2 Up	Active_Enhancer
chr14	39108285	39108685	Cluster 2	MeCP2 Up	Poised_Enhancer
chr11	5429504	5429904	Cluster 1	MeCP2 Up	Unmarked
chr18	55244092	55244492	Cluster 4	MeCP2 Up	Unmarked
chr5	50185141	50185541	Cluster 2	MeCP2 Up	Unmarked
chr13	35500823	35501223	Cluster 1	MeCP2 Up	Active_Enhancer
chr4	58191538	58191938	Cluster 2	MeCP2 Up	Unmarked
chr19	22339069	22339469	Cluster 1	MeCP2 Up	Unmarked
chr8	93653356	93653756	Cluster 1	MeCP2 Up	Poised_Enhancer
chr2	141815698	141816098	Cluster 1	MeCP2 Up	Active_Enhancer
chr2	136701602	136702002	Cluster 4	MeCP2 Up	Active_Enhancer
chr7	83058084	83058484	Cluster 2	MeCP2 Up	Unmarked
chr15	40563178	40563578	Cluster 4	MeCP2 Up	Unmarked
chr11	120228927	120229327	Cluster 1	MeCP2 Up	Poised_Enhancer
chr2	108763645	108764045	Cluster 1	MeCP2 Up	Poised_Enhancer
chr9	78991376	78991776	Cluster 2	MeCP2 Up	Unmarked
chr12	82172437	82172837	Cluster 3	MeCP2 Down	Poised_Enhancer
chr17	63460501	63460901	Cluster 2	MeCP2 Down	Unmarked
chr12	63803839	63804239	Cluster 2	MeCP2 Up	Poised_Enhancer
chr2	93155452	93155852	Cluster 2	MeCP2 Up	Unmarked
chr10	118642266	118642666	Cluster 3	MeCP2 Up	Unmarked
chr11	76524605	76525005	Cluster 3	MeCP2 Down	Unmarked
chr18	12786771	12787171	Cluster 1	MeCP2 Up	Active_Enhancer
chr8	35965489	35965889	Cluster 2	MeCP2 Up	Unmarked
chr5	38840312	38840712	Cluster 2	MeCP2 Up	Unmarked
chr6	76778351	76778751	Cluster 1	MeCP2 Up	Poised_Enhancer
chr4	67673364	67673764	Cluster 4	MeCP2 Up	Poised_Enhancer
chr1	190573257	190573657	Cluster 3	MeCP2 Down	Unmarked
chr1	193320425	193320825	Cluster 1	MeCP2 Up	Unmarked
chr18	38866242	38866642	Cluster 1	MeCP2 Up	Unmarked
chr19	10769719	10770119	Cluster 1	MeCP2 Up	Unmarked
chr6	59440999	59441399	Cluster 2	MeCP2 Up	Unmarked
chr7	38226230	38226630	Cluster 1	MeCP2 Up	Unmarked
chr6	100893900	100894300	Cluster 2	MeCP2 Up	Unmarked
chr4	97650738	97651138	Cluster 1	MeCP2 Up	Active_Enhancer
chr15	31985411	31985811	Cluster 2	MeCP2 Up	Unmarked
chr2	66336049	66336449	Cluster 1	MeCP2 Down	Unmarked
chr1	22931544	22931944	Cluster 1	MeCP2 Up	Active_Enhancer
chr9	40577444	40577844	Cluster 3	MeCP2 Up	Unmarked
chr14	101328724	101329124	Cluster 3	MeCP2 Up	Unmarked
chr6	115127985	115128385	Cluster 1	MeCP2 Up	Unmarked
chr5	51625838	51626238	Cluster 1	MeCP2 Up	Poised_Enhancer
chr5	117887095	117887495	Cluster 3	MeCP2 Down	Unmarked
chr14	24962402	24962802	Cluster 1	MeCP2 Up	Active_Enhancer
chr4	83174352	83174752	Cluster 3	MeCP2 Up	Unmarked
chr14	29315983	29316383	Cluster 3	MeCP2 Down	Unmarked
chr12	31992361	31992761	Cluster 3	MeCP2 Down	Unmarked
chr9	91817920	91818320	Cluster 2	MeCP2 Up	Unmarked
chr13	70527756	70528156	Cluster 2	MeCP2 Down	Unmarked
chr17	5940161	5940561	Cluster 1	MeCP2 Down	Unmarked
chr6	62164080	62164480	Cluster 2	MeCP2 Up	Unmarked
chr2	145350059	145350459	Cluster 3	MeCP2 Up	Poised_Enhancer
chr14	77448993	77449393	Cluster 2	MeCP2 Down	Unmarked
chr1	35672377	35672777	Cluster 1	MeCP2 Up	Poised_Enhancer
chr12	39349222	39349622	Cluster 1	MeCP2 Up	Poised_Enhancer
chr4	98586023	98586423	Cluster 1	MeCP2 Up	Poised_Enhancer
chr12	40842235	40842635	Cluster 1	MeCP2 Down	Unmarked
chr17	70068932	70069332	Cluster 2	MeCP2 Up	Unmarked
chr1	152627399	152627799	Cluster 3	MeCP2 Down	Polycomb
chr1	23057657	23058057	Cluster 2	MeCP2 Up	Unmarked
chr4	131193206	131193606	Cluster 1	MeCP2 Up	Unmarked
chr14	93882869	93883269	Cluster 1	MeCP2 Up	Active_Enhancer
chr14	55339175	55339575	Cluster 1	MeCP2 Up	Active_Enhancer
chr4	12353069	12353469	Cluster 2	MeCP2 Up	Unmarked
chr15	24965112	24965512	Cluster 2	MeCP2 Up	Unmarked
chr16	29192731	29193131	Cluster 1	MeCP2 Up	Active_Enhancer
chr15	22722461	22722861	Cluster 2	MeCP2 Up	Unmarked
chr2	6448734	6449134	Cluster 3	MeCP2 Down	Unmarked
chr14	39041685	39042085	Cluster 2	MeCP2 Up	Unmarked
chr4	120375750	120376150	Cluster 4	MeCP2 Down	Unmarked
chr9	112453332	112453732	Cluster 2	MeCP2 Up	Unmarked
chr4	72568661	72569061	Cluster 2	MeCP2 Up	Unmarked
chr4	136703462	136703862	Cluster 3	MeCP2 Down	Poised_Enhancer
chr6	125594429	125594829	Cluster 3	MeCP2 Down	Polycomb
chr10	7261998	7262398	Cluster 1	MeCP2 Up	Unmarked
chr3	26140955	26141355	Cluster 1	MeCP2 Up	Poised_Enhancer
chr2	37758594	37758994	Cluster 1	MeCP2 Up	Active_Enhancer
chr5	65099162	65099562	Cluster 2	MeCP2 Up	Unmarked
chr3	75105691	75106091	Cluster 1	MeCP2 Up	Poised_Enhancer
chr4	128155387	128155787	Cluster 3	MeCP2 Down	Unmarked
chr1	135568864	135569264	Cluster 2	MeCP2 Down	Unmarked
chr1	176222017	176222417	Cluster 3	MeCP2 Up	Unmarked
chr3	52944127	52944527	Cluster 2	MeCP2 Up	Unmarked
chr15	94896729	94897129	Cluster 1	MeCP2 Up	Active_Enhancer
chr1	61899053	61899453	Cluster 2	MeCP2 Up	Unmarked
chr2	102095731	102096131	Cluster 1	MeCP2 Up	Active_Enhancer
chr2	51777836	51778236	Cluster 3	MeCP2 Down	Polycomb
chr17	88318975	88319375	Cluster 3	MeCP2 Up	Unmarked
chr4	33824474	33824874	Cluster 2	MeCP2 Up	Unmarked
chr16	28762419	28762819	Cluster 1	MeCP2 Up	Poised_Enhancer
chr2	59444419	59444819	Cluster 2	MeCP2 Up	Unmarked
chr5	105398052	105398452	Cluster 1	MeCP2 Down	Poised_Enhancer
chrX	130248101	130248501	Cluster 4	MeCP2 Up	Unmarked
chr1	115744033	115744433	Cluster 2	MeCP2 Up	Unmarked
chr2	142732970	142733370	Cluster 3	MeCP2 Down	Active_Enhancer
chr8	14529413	14529813	Cluster 3	MeCP2 Up	Polycomb
chr3	137349513	137349913	Cluster 2	MeCP2 Up	Unmarked
chr10	91383548	91383948	Cluster 3	MeCP2 Up	Poised_Enhancer
chr10	128936131	128936531	Cluster 1	MeCP2 Up	Active_Enhancer
chr1	88348892	88349292	Cluster 1	MeCP2 Up	Active_Enhancer
chr4	62645736	62646136	Cluster 3	MeCP2 Up	Unmarked
chr16	37493274	37493674	Cluster 2	MeCP2 Up	Unmarked
chr3	101928219	101928619	Cluster 2	MeCP2 Up	Unmarked
chr9	41939447	41939847	Cluster 3	MeCP2 Up	Polycomb
chr12	112607832	112608232	Cluster 3	MeCP2 Down	Unmarked
chr10	109507993	109508393	Cluster 2	MeCP2 Up	Unmarked
chr5	102072223	102072623	Cluster 1	MeCP2 Up	Unmarked
chr14	62393671	62394071	Cluster 2	MeCP2 Up	Unmarked
chr2	105671937	105672337	Cluster 1	MeCP2 Up	Active_Promoter
chr16	41673393	41673793	Cluster 1	MeCP2 Up	Active_Enhancer
chr9	29595985	29596385	Cluster 1	MeCP2 Up	Active_Enhancer
chr4	82613403	82613803	Cluster 4	MeCP2 Up	Poised_Enhancer
chr10	93518071	93518471	Cluster 1	MeCP2 Up	Unmarked
chr15	42031420	42031820	Cluster 1	MeCP2 Up	Unmarked
chr10	25205058	25205458	Cluster 2	MeCP2 Up	Unmarked
chr1	152300290	152300690	Cluster 2	MeCP2 Up	Unmarked
chr19	22885466	22885866	Cluster 1	MeCP2 Up	Active_Enhancer
chr4	33922577	33922977	Cluster 1	MeCP2 Up	Active_Promoter
chr2	145345103	145345503	Cluster 3	MeCP2 Up	Unmarked
chr12	39035338	39035738	Cluster 1	MeCP2 Up	Unmarked
chr14	81994684	81995084	Cluster 4	MeCP2 Up	Unmarked
chr5	13661022	13661422	Cluster 2	MeCP2 Up	Unmarked
chr15	37678972	37679372	Cluster 2	MeCP2 Up	Unmarked
chr8	35960268	35960668	Cluster 1	MeCP2 Up	Active_Enhancer
chr14	73427464	73427864	Cluster 1	MeCP2 Up	Poised_Enhancer
chr9	10232137	10232537	Cluster 4	MeCP2 Up	Unmarked
chr12	98282096	98282496	Cluster 4	MeCP2 Up	Unmarked
chr4	82591538	82591938	Cluster 1	MeCP2 Up	Active_Enhancer
chr5	97142514	97142914	Cluster 2	MeCP2 Up	Unmarked
chr3	25843319	25843719	Cluster 2	MeCP2 Down	Unmarked
chr18	68548386	68548786	Cluster 3	MeCP2 Up	Unmarked
chr4	151559244	151559644	Cluster 3	MeCP2 Down	Unmarked
chr2	82056743	82057143	Cluster 2	MeCP2 Up	Unmarked
chr2	124606303	124606703	Cluster 2	MeCP2 Up	Unmarked
chr18	55101470	55101870	Cluster 1	MeCP2 Up	Poised_Enhancer
chr15	44621008	44621408	Cluster 1	MeCP2 Up	Active_Promoter
chr9	91821538	91821938	Cluster 2	MeCP2 Up	Unmarked
chr3	123966799	123967199	Cluster 1	MeCP2 Up	Active_Enhancer
chr7	92174472	92174872	Cluster 1	MeCP2 Up	Poised_Enhancer
chr4	45466215	45466615	Cluster 3	MeCP2 Up	Poised_Enhancer
chr16	24199873	24200273	Cluster 1	MeCP2 Up	Unmarked
chr14	29477034	29477434	Cluster 3	MeCP2 Up	Unmarked
chr9	94272692	94273092	Cluster 2	MeCP2 Up	Unmarked
chr8	128296412	128296812	Cluster 3	MeCP2 Up	Poised_Enhancer
chr14	77750795	77751195	Cluster 2	MeCP2 Up	Unmarked
chr15	22915967	22916367	Cluster 1	MeCP2 Up	Poised_Enhancer
